Date; Sales ;Cost of Sales;Quantity Sold;SalesPricePerUnit;AvgUnitSalesPrice;GrossProfitPct;GrossProfitPerUnit;GrossProfitPercentPerUnit;PrevDayPrice;PrevDayQty;PriceDrop;PctChangePrice;PctChangeQty;Elasticity
2013/12/30; 223937.9679 ;230079.621;6827,00;32.801811615643764;32.801811615643764;-2.7425689165593368;-0.8996122894389958;-2.7425689165593368;null;null;null;null;null;null
2013/12/31; 300345.4846 ;306986.1205;9268,00;32.40672039274925;32.40672039274925;-2.210999079557993;-0.7165122895986182;-2.210999079557993;32.801811615643764;6827,00;-0.39509122289451426;-1.2044798852088043;35.75509008349202;-29.685086918071402
2014/01/01; 86782.46773 ;87986.31821;2678,00;32.40570116878268;32.40570116878268;-1.3872047102249343;-0.44953341299476984;-1.387204710224934;32.40672039274925;9268,00;-0.0010192239665727243;-0.003145100627957304;-71.10487699611566;22608.140535807666
2014/01/02; 200173.1168 ;202881.1777;6175,00;32.416699076923074;32.416699076923074;-1.3528594365175073;-0.43855237246963746;-1.3528594365175073;32.40570116878268;2678,00;0.010997908140396362;0.03393818909553778;130.58252427184468;3847.6573957510823
2014/01/03; 326906.0742 ;333806.2919;10084,00;32.41829375247917;32.41829375247917;-2.1107646032231595;-0.6842738694962354;-2.1107646032231595;32.416699076923074;6175,00;0.0015946755560989345;0.004919302709738754;63.30364372469636;12868.418038063402
2014/01/04; 307043.9354 ;313652.3483;9470,00;32.42280204857445;32.42280204857445;-2.152269476155234;-0.6978260718057018;-2.152269476155234;32.41829375247917;10084,00;0.004508296095274034;0.013906642125263808;-6.088853629512099;-437.83780258863845
2014/01/05; 179188.8845 ;183083.285;5524,00;32.43824846125995;32.43824846125995;-2.1733493742464915;-0.7049964699493153;-2.1733493742464915;32.42280204857445;9470,00;0.015446412685506061;0.047640585358307126;-41.66842661034847;-874.6413650663239
2014/01/06; 306351.9509 ;313446.0681;9448,00;32.42505830863675;32.42505830863675;-2.3156755421856787;-0.7508591447925465;-2.3156755421856787;32.43824846125995;5524,00;-0.013190152623202778;-0.04066234537587746;71.03548153511949;-1746.9597702364852
2014/01/07; 224020.41 ;229533.9737;6911,00;32.41504992041673;32.41504992041673;-2.4611881122795904;-0.7977953552307914;-2.4611881122795904;32.42505830863675;9448,00;-0.010008388220022368;-0.03086621502653252;-26.852243861134635;869.9558348198026
2014/01/08; 101836.4022 ;99381.96752;2990,00;34.058997391304345;34.058997391304345;2.410174188184342;0.8208811638795958;2.410174188184342;32.41504992041673;6911,00;1.6439474708876176;5.071556190484753;-56.73563883663725;-11.187027552427514
2014/01/09; 107804.3049 ;104816.4585;3159,00;34.12608575498576;34.12608575498576;2.7715464635401674;0.9458203228869926;2.771546463540167;34.058997391304345;2990,00;0.06708836368141391;0.19697691893462002;5.6521739130434785;28.694600076060336
2014/01/10; 144829.9567 ;141333.9963;4246,00;34.10974015544042;34.10974015544042;2.4138379100958542;0.8233538389072094;2.4138379100958542;34.12608575498576;3159,00;-0.016345599545338985;-0.0478976688469199;34.40962329851219;-718.3987055504671
2014/01/11; 146571.4824 ;143179.67;4297,00;34.11018906213638;34.11018906213638;2.3141011774334044;0.7893442867116582;2.3141011774334044;34.10974015544042;4246,00;4.489066959578736E-4;0.0013160660090407463;1.2011304757418746;912.6673491228256
2014/01/12; 95422.37298 ;93126.14724;2796,00;34.12817345493562;34.12817345493562;2.406380881432566;0.8212538412017147;2.406380881432566;34.11018906213638;4297,00;0.017984392799242244;0.05272440081314475;-34.9313474517105;-662.527158449978
2014/01/13; 114883.1738 ;112186.3087;3369,00;34.10008127040665;34.10008127040665;2.347484849865812;0.8004942416147255;2.3474848498658125;34.12817345493562;2796,00;-0.028092184528972552;-0.08231376509518372;20.493562231759658;-248.96883538326642
2014/01/14; 80090.80008 ;78096.76018;2348,00;34.11022149914821;34.11022149914821;2.489724035729727;0.8492503833049418;2.4897240357297274;34.10008127040665;3369,00;0.010140228741562396;0.02973667030630356;-30.305728702879193;-1019.1365876109877
2014/01/15; 98945.37116 ;97159.00259;2903,00;34.08383436445057;34.08383436445057;1.8054089332904084;0.6153525904236967;1.8054089332904084;34.11022149914821;2348,00;-0.026387134697642978;-0.07735843843260269;23.637137989778534;-305.5534531035294
2014/01/16; 84904.90171 ;83350.43316;2491,00;34.08466547972702;34.08466547972702;1.8308348737148605;0.6240339421918928;1.83083487371486;34.08383436445057;2903,00;8.311152764548524E-4;0.002438444183151252;-14.192214950051671;-5820.192665517887
2014/01/17; 135460.6197 ;132703.3354;3968,00;34.13826101310484;34.13826101310484;2.035487735185667;0.6948801159274192;2.035487735185667;34.08466547972702;2491,00;0.053595533377816196;0.15724236287339804;59.2934564431955;377.0832195579188
2014/01/18; 149925.7497 ;146928.4118;4393,00;34.12832909173685;34.12832909173685;1.9992148820316917;0.6822986341907544;1.9992148820316917;34.13826101310484;3968,00;-0.009931921367986263;-0.02909322582123806;10.710685483870968;-368.1504948843509
2014/01/19; 74297.30718 ;72782.28432;2176,00;34.14398307904412;34.14398307904412;2.0391356261803044;0.6962421231617635;2.0391356261803044;34.12832909173685;4393,00;0.015653987307267414;0.0458680155866686;-50.46665149100842;-1100.2580086694747
2014/01/20; 83356.42456 ;81789.13612;2443,00;34.12051762586983;34.12051762586983;1.8802251275447508;0.6415425460499402;1.8802251275447508;34.14398307904412;2176,00;-0.023465453174289053;-0.06872500235243785;12.270220588235293;-178.5408536664828
2014/01/21; 89922.01429 ;88388.91607;2638,00;34.08719268006065;34.08719268006065;1.7049197931173254;0.5811592949203942;1.7049197931173254;34.12051762586983;2443,00;-0.03332494580917711;-0.09766834775071077;7.981989357347523;-81.7254467918388
2014/01/22; 57806.30278 ;57157.28254;1704,00;33.92388660798122;33.92388660798122;1.1227499576820332;0.3808804225352101;1.1227499576820332;34.08719268006065;2638,00;-0.16330607207943615;-0.47908337190513856;-35.405610310841546;73.90281605902213
2014/01/23; 63977.75035 ;62863.98724;1872,00;34.17614869123932;34.17614869123932;1.7408600707386388;0.5949589262820512;1.7408600707386386;33.92388660798122;1704,00;0.2522620832581026;0.7436119751642883;9.859154929577464;13.258467129176143
2014/01/24; 116958.7998 ;114823.7952;3423,00;34.168507099035935;34.168507099035935;1.82543306160021;0.6237232252410168;1.82543306160021;34.17614869123932;1872,00;-0.007641592203384562;-0.022359430468370474;82.8525641025641;-3705.4863369515106
2014/01/25; 155272.8248 ;152636.2766;4544,00;34.17095616197183;34.17095616197183;1.6980100693060811;0.5802262764084486;1.6980100693060816;34.168507099035935;3423,00;0.0024490629358950855;0.007167602988320745;32.74905054046158;4569.038016450484
2014/01/26; 82885.21591 ;81583.16695;2426,00;34.16538166117065;34.16538166117065;1.5709061570326552;0.5367060840890355;1.5709061570326557;34.17095616197183;4544,00;-0.005574500801181159;-0.016313563994983873;-46.610915492957744;2857.1877676324902
2014/01/27; 72353.42588 ;71377.15646;2117,00;34.17733863013699;34.17733863013699;1.3493064193244486;0.4611570240906929;1.3493064193244486;34.16538166117065;2426,00;0.01195696896633791;0.03499732297715598;-12.737015663643858;-363.94256989192485
2014/01/28; 50415.90376 ;49769.09824;1476,00;34.157116368563685;34.157116368563685;1.2829394531516412;0.43821512195122064;1.2829394531516412;34.17733863013699;2117,00;-0.02022226157330209;-0.05916862571467297;-30.278696268304206;511.73566907428653
2014/01/29; 67458.30189 ;66529.442;1974,00;34.17340521276596;34.17340521276596;1.3769393298909898;0.4705470567375922;1.3769393298909898;34.157116368563685;1476,00;0.016288844202271946;0.04768799575031835;33.739837398373986;707.5121708831462
2014/01/30; 64640.36931 ;63757.83987;1892,00;34.16510005813954;34.16510005813954;1.3652914570577326;0.4664531923890055;1.3652914570577326;34.17340521276596;1974,00;-0.00830515462642012;-0.024302976465797477;-4.154002026342452;170.9256490532565
2014/01/31; 137693.8735 ;135609.5076;4030,00;34.16721426799007;34.16721426799007;1.5137680762535708;0.5172123821339889;1.513768076253571;34.16510005813954;1892,00;0.0021142098505322338;0.006188215011618389;113.00211416490487;18260.857767990143
2014/02/01; 181209.1285 ;178435.7153;5304,00;34.164616987179485;34.164616987179485;1.5305041324118398;0.5228908748114595;1.5305041324118398;34.16721426799007;4030,00;-0.0025972808105834133;-0.007601675659629953;31.61290322580645;-4158.675618547155
